zip,ruca,population,median_household_income,within_10_miles_count
2136,Urban,"40,947","$81,859",2.0
2138,Urban,"39,370","$108,692",1.0
2139,Urban,"39,707","$113,374",2.0
2140,Urban,"20,060","$119,827",1.0
2141,Urban,"13,953","$96,563",2.0
2142,Urban,"4,172","$137,723",2.0
2143,Urban,"25,264","$111,201",2.0
2144,Urban,"25,367","$117,601",2.0
2145,Urban,"27,359","$99,035",2.0
2148,Urban,"65,386","$77,082",3.0
2149,Urban,"48,584","$71,574",3.0
2150,Urban,"40,009","$64,688",3.0
2151,Urban,"60,736","$72,971",3.0
2152,Urban,"19,088","$86,780",3.0
2155,Urban,"62,996","$107,937",2.0
2163,Urban,"2,198","$67,292",1.0
2169,Urban,"60,459","$80,087",3.0
2170,Urban,"20,130","$92,052",2.0
2171,Urban,"19,923","$90,558",2.0
2176,Urban,"29,401","$125,000",5.0
2180,Urban,"23,077","$105,541",5.0
2184,Urban,"38,712","$114,916",5.0
2186,Urban,"28,414","$154,125",3.0
2188,Urban,"16,169","$98,327",5.0
2189,Urban,"15,265","$80,020",4.0
2190,Urban,"17,927","$93,988",5.0
2191,Urban,"7,856","$95,846",2.0
2199,Urban,"1,232","$106,182",2.0
2203,Urban,0,,2.0
2205,Urban,0,,3.0
2210,Urban,"4,830","$160,000",3.0
2215,Urban,"25,856","$58,466",0.0
2301,Urban,"68,571","$65,275",3.0
2302,Urban,"35,645","$75,280",4.0
2322,Urban,"4,740","$127,953",6.0
2324,Urban,"25,245","$107,932",4.0
2325,Urban,"3,082","$22,708",5.0
2330,Urban,"11,641","$61,811",3.0
2332,Urban,"16,004","$130,260",2.0
2333,Urban,"14,403","$110,924",4.0
2338,Urban,"7,737","$98,264",2.0
2339,Urban,"14,742","$149,048",4.0
2341,Urban,"10,419","$113,500",3.0
2343,Urban,"11,309","$89,580",5.0
2346,Urban,"24,219","$81,809",3.0
2347,Urban,"11,514","$112,240",2.0
2350,Urban,182,,3.0
2351,Urban,"16,974","$113,155",5.0
2356,Urban,"11,943","$114,682",5.0
2357,Urban,"1,582",,5.0
2359,Urban,"18,329","$130,015",3.0
2360,Urban,"60,793","$97,956",2.0
2364,Urban,"13,618","$103,945",2.0
2366,Urban,194,,2.0
2367,Suburban,"2,934","$118,098",2.0
2368,Urban,"34,696","$87,985",6.0
2370,Urban,"17,774","$90,315",5.0
2375,Urban,"11,437","$110,549",4.0
2379,Urban,"7,622","$111,964",6.0
2382,Urban,"15,116","$94,919",5.0
2420,Urban,"15,451","$215,303",0.0
2421,Urban,"18,784","$191,140",0.0
2445,Urban,"21,485","$126,832",0.0
2446,Urban,"31,764","$109,845",0.0
2451,Urban,"17,965","$109,021",0.0
2452,Urban,"16,193","$101,857",0.0
2453,Urban,"30,441","$100,167",0.0
2457,Urban,"1,848",,1.0
2458,Urban,"12,428","$131,992",0.0
2459,Urban,"19,081","$200,091",0.0
2460,Urban,"9,638","$140,000",0.0
2461,Urban,"6,899","$181,220",0.0
2462,Urban,"1,381","$91,944",1.0
2464,Urban,"3,595","$121,071",1.0
2465,Urban,"11,574","$167,330",0.0
2466,Urban,"9,109","$137,656",1.0
2467,Urban,"23,328","$157,054",0.0
2468,Urban,"5,305","$250,001",1.0
2472,Urban,"35,229","$101,354",0.0
2474,Urban,"28,028","$124,375",1.0
2476,Urban,"18,017","$127,649",1.0
2478,Urban,"27,016","$151,290",0.0
2481,Urban,"16,997","$249,375",1.0
2482,Urban,"10,520","$202,396",1.0
2492,Urban,"20,927","$190,651",1.0
2493,Urban,"11,806","$220,815",1.0
2494,Urban,"10,881","$153,285",1.0
2532,Urban,"12,715","$77,221",1.0
2534,Urban,"1,127",,1.0
2535,Rural,"2,151","$104,135",0.0
2536,Urban,"20,261","$74,944",1.0
2537,Urban,"7,124","$124,167",0.0
2538,Urban,"4,663","$88,152",1.0
2539,Urban,"5,084","$73,849",0.0
2540,Urban,"8,888","$81,343",1.0
2542,Urban,847,"$43,929",1.0
2543,Urban,924,"$79,306",1.0
2553,Urban,30,,1.0
2554,Suburban,"13,585","$116,470",0.0
2556,Urban,"2,457","$106,167",1.0
2557,Urban,"1,762","$67,703",1.0
2558,Urban,"1,779","$56,588",1.0
2559,Urban,"3,307","$78,883",1.0
2561,Urban,"1,025","$81,983",0.0
2562,Urban,"3,204","$110,233",0.0
2563,Urban,"9,514","$105,302",0.0
2564,Suburban,180,"$119,519",0.0
2568,Urban,"8,810","$70,197",1.0
2571,Urban,"10,738","$72,500",1.0
2575,Rural,"2,432","$114,432",0.0
2576,Urban,"3,985","$60,764",1.0
2584,Suburban,30,,0.0
2601,Urban,"17,175","$57,844",0.0
2630,Urban,"1,953","$122,976",0.0
2631,Urban,"10,109","$88,207",0.0
2632,Urban,"12,038","$102,733",0.0
2633,Urban,"4,649","$95,604",0.0
2635,Urban,"2,902","$68,837",1.0
2637,Urban,292,,0.0
2638,Urban,"3,180","$100,063",0.0
2639,Urban,"3,439","$46,635",0.0
2641,Urban,178,"$175,571",0.0
2642,Urban,"5,674","$76,859",0.0
2643,Urban,0,,0.0
2644,Urban,"3,713","$115,078",0.0
2645,Urban,"10,845","$82,889",0.0
2646,Urban,"1,801","$67,283",0.0
2647,Urban,166,,0.0
2648,Urban,"7,283","$111,754",0.0
2649,Urban,"14,996","$83,563",1.0
2650,Urban,764,"$80,125",0.0
2652,Rural,990,"$83,468",0.0
2653,Urban,"6,276","$79,250",0.0
2655,Urban,"3,341","$97,070",0.0
2657,Suburban,"3,582","$72,904",0.0
2659,Urban,"1,141","$61,302",0.0
2660,Urban,"6,480","$69,931",0.0
2663,Rural,398,,0.0
2664,Urban,"9,010","$72,179",0.0
2666,Rural,585,,0.0
2667,Rural,"3,907","$90,625",0.0
2668,Urban,"2,604","$100,869",0.0
2670,Urban,"1,373","$61,875",0.0
2671,Urban,870,"$76,719",0.0
2672,Urban,153,"$71,250",0.0
2673,Urban,"9,351","$65,880",0.0
2675,Urban,"7,178","$96,399",0.0
2702,Urban,"4,383","$105,515",3.0
2703,Urban,"46,126","$81,798",2.0
2713,Rural,34,"$71,667",0.0
2715,Urban,"3,531","$97,148",5.0
2717,Urban,"4,782","$112,308",2.0
2718,Urban,"6,867","$89,796",2.0
2719,Urban,"15,911","$79,432",2.0
2720,Urban,"31,210","$56,843",3.0
2721,Urban,"26,981","$47,963",3.0
2723,Urban,"16,577","$43,142",3.0
2724,Urban,"18,127","$43,511",3.0
2725,Urban,"2,490","$118,176",3.0
2726,Urban,"15,781","$95,307",3.0
2738,Urban,"5,378","$106,354",1.0
2739,Urban,"6,478","$101,487",2.0
2740,Urban,"45,990","$47,206",2.0
2743,Urban,"10,443","$78,471",2.0
2744,Urban,"12,614","$48,009",2.0
2745,Urban,"24,884","$63,623",2.0
2746,Urban,"16,675","$37,565",2.0
2747,Urban,"22,872","$90,048",3.0
2748,Urban,"11,496","$101,782",2.0
2760,Urban,"28,837","$97,884",2.0
2762,Urban,"9,760","$96,932",2.0
2763,Urban,"1,720","$98,224",1.0
2764,Urban,"4,472","$101,226",3.0
2766,Urban,"19,270","$109,375",3.0
2767,Urban,"15,255","$100,425",2.0
