ruca,great_circle_distance,origin,destination
Rural,66.91611489048785,"41.23526,-103.48633","41.126208,-104.764952"
Rural,89.28586944035085,"39.07511,-79.63089","38.235873,-78.372526"
Rural,72.08443888917411,"43.749928,-74.327593","44.662874,-75.032053"
Rural,84.83740902835137,"37.855567,-76.312376","38.958102,-77.002073"
Rural,85.53638678279988,"45.66468,-97.0498","46.881818,-96.722503"
Rural,82.25423331506886,"34.583624,-113.164742","33.610383,-112.336792"
Rural,67.09063426288147,"39.32928,-76.0455","38.780236,-77.076863"
Rural,74.69062444968003,"37.34781,-82.340599","38.388379,-82.711657"
Rural,89.10948588003407,"35.91893,-103.15383","35.169869,-101.863503"
Rural,58.75745435936319,"41.65398,-74.58683","40.809127,-74.457814"
Rural,24.79997569465265,"35.610477,-76.717723","35.833971,-77.063675"
Rural,25.840853989816555,"40.269966,-100.171378","40.198509,-100.652259"
Rural,68.3424519260562,"43.082635,-72.474882","42.108545,-72.708323"
Rural,77.8484084652737,"45.849458,-97.376617","46.881818,-96.722503"
Rural,79.43935478989012,"35.598506,-108.000168","35.103279,-106.727974"
Rural,79.6351248307382,"36.100391,-98.94537","35.507928,-97.726342"
Rural,61.47997159951934,"36.058133,-98.588383","35.507928,-97.726342"
Rural,42.57705748933319,"39.95817,-74.62793","40.127701,-75.401803"
Rural,3.3082638155800903,"19.618904,-155.948308","19.648071,-155.988624"
Rural,84.81695832107519,"42.3423,-74.7171","42.664403,-73.110318"
Rural,49.72591257802288,"44.61841,-67.74416","44.774419,-68.73254"
Rural,17.64932041254066,"44.759144,-97.381575","44.887106,-97.069882"
Rural,83.69907886682519,"39.698298,-122.168928","38.649938,-121.385944"
Rural,73.32713821683315,"32.372937,-84.212159","32.551258,-82.972221"
Rural,47.571737380209555,"36.16318,-81.8715","36.563018,-82.567562"
Rural,61.6164751004126,"39.385738,-98.795417","39.550762,-97.660163"
Rural,20.87391381465689,"35.79583,-108.595495","35.528462,-108.768624"
