zip,ruca,city,state_name,population,county,median_household_income,latitude,longitude
67021,Suburban,Byers,Kansas,22,Pratt,"$43,750",37.777955,-98.931119
67022,Rural,Caldwell,Kansas,"1,396",Sumner,"$48,917",37.133257,-97.601664
67023,Suburban,Cambridge,Kansas,160,Cowley,"$55,469",37.31614,-96.66447
67024,Rural,Cedar Vale,Kansas,"1,088",Chautauqua,"$30,000",37.130234,-96.444127
67025,Suburban,Cheney,Kansas,"3,694",Sedgwick,"$71,964",37.633711,-97.73513
67026,Suburban,Clearwater,Kansas,"4,738",Sedgwick,"$95,778",37.548282,-97.488432
67028,Suburban,Coats,Kansas,187,Kiowa,"$66,250",37.51196,-98.82426
67029,Rural,Coldwater,Kansas,"1,010",Comanche,"$44,232",37.25486,-99.322574
67030,Suburban,Colwich,Kansas,"2,802",Sedgwick,"$96,563",37.77081,-97.545886
67031,Suburban,Conway Springs,Kansas,"2,386",Sumner,"$66,542",37.394301,-97.658248
67035,Rural,Cunningham,Kansas,889,Kingman,"$55,714",37.630922,-98.35639
67036,Rural,Danville,Kansas,126,Harper,"$53,304",37.299891,-97.86969
67037,Urban,Derby,Kansas,"29,180",Sedgwick,"$75,654",37.566129,-97.228475
67038,Suburban,Dexter,Kansas,813,Cowley,"$48,607",37.178743,-96.715776
67039,Suburban,Douglass,Kansas,"3,025",Butler,"$69,769",37.535867,-96.998807
67041,Rural,Elbing,Kansas,293,Butler,"$68,125",38.054538,-97.128356
67042,Urban,El Dorado,Kansas,"17,132",Butler,"$51,770",37.830491,-96.865969
67045,Suburban,Eureka,Kansas,"3,182",Greenwood,"$42,788",37.755154,-96.170019
67047,Suburban,Fall River,Kansas,739,Greenwood,"$46,518",37.607625,-96.029221
67049,Rural,Freeport,Kansas,95,Harper,"$72,917",37.175377,-97.857243
67050,Suburban,Garden Plain,Kansas,"2,302",Sedgwick,"$92,344",37.674242,-97.654917
67051,Suburban,Geuda Springs,Kansas,370,Sumner,"$47,250",37.11419,-97.14921
67052,Urban,Goddard,Kansas,"8,738",Sedgwick,"$98,214",37.663432,-97.579616
67053,Suburban,Goessel,Kansas,576,Marion,"$54,931",38.2464,-97.34892
67054,Rural,Greensburg,Kansas,"1,207",Kiowa,"$61,667",37.6028,-99.29261
67055,Urban,Greenwich,Kansas,75,Sedgwick,,37.78335,-97.205419
67056,Suburban,Halstead,Kansas,"3,226",Harvey,"$51,685",38.02428,-97.509713
67057,Rural,Hardtner,Kansas,250,Barber,"$43,304",37.076952,-98.751916
67058,Rural,Harper,Kansas,"1,829",Harper,"$62,917",37.291318,-98.038455
67059,Rural,Haviland,Kansas,947,Kiowa,"$60,938",37.612557,-99.192552
67060,Urban,Haysville,Kansas,"14,518",Sedgwick,"$64,596",37.542404,-97.36324
67061,Rural,Hazelton,Kansas,172,Barber,"$55,592",37.114569,-98.410166
67062,Urban,Hesston,Kansas,"4,032",Harvey,"$57,005",38.137404,-97.443222
67063,Suburban,Hillsboro,Kansas,"3,576",Marion,"$58,292",38.347988,-97.205656
67065,Rural,Isabel,Kansas,242,Pratt,"$90,855",37.427542,-98.551564
67066,Suburban,Iuka,Kansas,308,Pratt,"$49,271",37.75535,-98.756921
67067,Urban,Kechi,Kansas,"2,313",Sedgwick,"$103,803",37.79585,-97.27949
67068,Suburban,Kingman,Kansas,"4,113",Kingman,"$51,578",37.596364,-98.130432
67070,Rural,Kiowa,Kansas,886,Barber,"$54,750",37.138561,-98.503736
67071,Rural,Lake City,Kansas,219,Barber,,37.35336,-98.82093
67072,Rural,Latham,Kansas,363,Butler,,37.53613,-96.64197
67073,Suburban,Lehigh,Kansas,388,Marion,"$61,250",38.372882,-97.302858
67074,Rural,Leon,Kansas,"1,217",Butler,"$61,771",37.66475,-96.748795
67101,Urban,Maize,Kansas,"5,897",Sedgwick,"$54,844",37.789561,-97.486701
67102,Suburban,Maple City,Kansas,142,Cowley,"$56,250",37.2377,-96.838911
67103,Suburban,Mayfield,Kansas,180,Sumner,"$73,750",37.268787,-97.556978
67104,Rural,Medicine Lodge,Kansas,"1,824",Barber,"$51,875",37.291739,-98.620996
67105,Suburban,Milan,Kansas,181,Sumner,"$55,313",37.227503,-97.674141
67106,Suburban,Milton,Kansas,531,Sumner,"$51,953",37.430408,-97.742966
67107,Rural,Moundridge,Kansas,"2,663",McPherson,"$53,899",38.217149,-97.523327
67108,Suburban,Mount Hope,Kansas,"1,553",Sedgwick,"$75,833",37.823852,-97.637834
67109,Rural,Mullinville,Kansas,343,Kiowa,"$63,750",37.58613,-99.47567
67110,Urban,Mulvane,Kansas,"8,455",Sumner,"$63,580",37.47446,-97.24393
67111,Suburban,Murdock,Kansas,227,Kingman,"$54,583",37.619803,-97.963093
67112,Rural,Nashville,Kansas,238,Kingman,"$78,214",37.471011,-98.391558
