origin,destination,ruca,great_circle_distance,travel_time
"21.48676,-158.051525","21.295027,-157.84254",Urban,18.874812132779276,33
"43.68826,-70.289844","43.031667,-71.06925",Urban,59.92494525299374,72
"38.434487,-82.134925","39.306253,-81.553411",Urban,67.87156292249936,110
"42.82982,-75.65364","42.682171,-74.455423",Rural,61.63740146287694,92
"42.393453,-83.246327","41.406965,-82.65893",Urban,74.55336637017717,118
"42.597468,-76.072949","41.395756,-75.689515",Urban,85.33260848293716,98
"39.712811,-83.878088","40.28985,-84.191917",Urban,43.19116406265314,58
"38.93893,-105.009444","39.854936,-104.975086",Suburban,63.316568129113854,89
"33.54062,-112.3728","33.280955,-111.793562",Suburban,37.920373818883334,53
"34.12834,-117.20865","33.860368,-118.149013",Urban,56.96136549649825,72
"38.889106,-81.682596","38.407111,-82.375297",Suburban,50.06248535602368,86
"39.885541,-104.987203","40.526561,-104.990469",Urban,44.29060050312538,44
"40.277534,-80.27313","41.251977,-80.45179",Suburban,67.97361140794013,82
"40.191241,-76.720142","39.498677,-76.384934",Urban,51.04875974381987,89
"29.76899,-82.282534","30.177207,-81.625463",Urban,48.39597049112836,74
"36.111833,-115.211676","36.16009,-115.231832",Urban,3.518832320392462,15
"35.27478,-102.66521","35.190331,-101.793345",Rural,49.54976249733736,48
"37.439616,-122.186373","38.048958,-121.37384",Urban,61.182002165733586,100
"45.053757,-123.648356","45.365917,-122.83368",Rural,45.14162545116438,66
"35.326665,-97.353359","35.421606,-97.528106",Suburban,11.830171964168317,25
"38.960269,-82.141796","39.891789,-82.041278",Suburban,64.58508467603801,99
"40.024761,-75.222473","40.461518,-74.465421",Urban,50.047575046600066,74
"42.04136,-74.11762","41.158788,-73.418124",Rural,70.88485191902616,109
"41.92947,-88.75036","42.526387,-88.986188",Urban,42.971603613424165,59
"42.585655,-91.716494","43.766417,-91.213606",Rural,85.42681839606288,125
"30.79491,-97.42556","30.349522,-97.390059",Suburban,30.845762729432156,38
"36.248623,-92.841645","36.357512,-94.214681",Rural,76.82222059799261,128
"29.384185,-81.618309","29.142507,-81.033577",Rural,39.0007086248789,70
"42.703155,-124.45094","43.389747,-124.250286",Rural,48.50881556855998,74
"46.66306,-92.42778","47.201771,-93.526986",Suburban,63.83532729065779,85
"41.95918,-87.873412","41.745974,-88.198266",Urban,22.282706588535216,40
"39.26427,-76.99248","40.167202,-76.15271",Suburban,76.70725336230832,102
"32.52258,-88.745613","32.391788,-88.680964",Suburban,9.79136568670654,20
"31.049335,-93.223895","30.12196,-94.164136",Suburban,85.04835598845662,115
"38.498027,-91.918023","38.433471,-90.972195",Suburban,51.361948446141994,71
"47.76388,-98.17732","46.880626,-98.723014",Rural,66.16248374907602,96
"38.348343,-122.517056","38.471218,-121.8205",Urban,38.65576710489207,65
"32.308595,-90.210438","32.317969,-89.159028",Urban,61.398650429898936,68
"30.319748,-97.958224","29.883577,-97.912313",Urban,30.26124250077148,54
"34.196241,-89.888559","35.357673,-89.897723",Suburban,80.24899611649238,87
"39.64504,-87.17751","40.364859,-86.85932",Suburban,52.5083283698148,85
"44.369482,-97.542049","44.314379,-96.766072",Rural,38.532786391446976,47
"35.943561,-89.23701","34.820917,-89.971894",Suburban,87.92222265923925,113
"42.97825,-111.37689","41.729772,-111.805397",Suburban,88.99275720047301,130
"33.976663,-118.168903","33.916315,-117.934943",Urban,14.043202154362708,34
"43.10357,-93.60243","44.097942,-93.249733",Suburban,70.93454428889982,77
"35.608071,-99.672542","35.0158,-99.104057",Rural,51.97996708395663,72
"39.86393,-86.46694","38.868294,-86.503465",Urban,68.81955775768581,92
"40.7793,-72.91213","41.67871,-72.657352",Urban,63.53784155558721,157
"39.86595,-75.17879","40.61576,-74.253511",Urban,71.17110470436056,82
"42.90285,-73.68734","42.923487,-72.290115",Urban,70.71745733538205,120
"31.31296,-84.33574","31.583899,-84.218448",Suburban,19.955982011076696,26
"38.293157,-90.429283","38.782599,-90.527676",Urban,34.23274816808804,49
"21.971285,-159.713792","21.98224,-159.365088",Suburban,22.35525356946569,46
"41.425292,-82.218185","40.847551,-81.94239",Suburban,42.41955819063843,72
"32.13603,-81.62206","31.851168,-81.579253",Suburban,19.8412923082781,55
"37.698301,-93.542218","37.640175,-93.096383",Rural,24.71167711011853,37
"41.782455,-88.149884","41.522057,-88.141464",Urban,17.997039231681423,39
"39.4211,-105.55417","39.702041,-104.826212",Suburban,43.363129401055865,68
"35.71306,-118.47274","36.228474,-119.328995",Rural,59.67142360058293,117
"38.220716,-88.222704","37.785686,-89.028097",Suburban,53.16150239165951,79
"47.277623,-111.290803","47.491168,-111.219167",Urban,15.130355089092896,29
"40.162779,-89.398361","40.460974,-90.642001",Urban,68.68477843076926,92
"48.697742,-100.634566","48.820912,-100.439464",Rural,12.304224064017347,21
"40.50093,-75.96993","40.687904,-74.298839",Urban,88.61908816532154,106
"37.715699,-83.636349","38.256814,-82.429924",Suburban,75.59013346725142,128
"34.22649,-87.62141","34.765213,-86.59245",Suburban,69.41626523513344,96
"26.152016,-80.316519","26.348213,-80.200621",Urban,15.340909214205595,27
"39.824325,-79.306409","39.156231,-78.172111",Rural,76.08418305568384,129
"43.0172,-111.029","43.852599,-111.777823",Rural,68.87015346574547,101
"41.067608,-80.698121","41.324204,-79.623459",Urban,58.61679761076512,83
