origin,destination,ruca,great_circle_distance,driving_time,driving_distance
"39.592806,-95.037469","39.540275,-95.129747",Suburban,6.109906161787518,14.0,9.170193218
"40.531767,-74.218779","40.453805,-74.297243",Urban,6.7833727416860405,14.0,10.229009401999999
"27.094062,-82.240218","27.002055,-82.124935",Urban,9.525682127724387,25.0,12.68218211
"44.143552,-123.058908","44.057535,-122.987677",Urban,6.914690922673606,14.0,9.623794048
"37.267947,-121.800001","37.330571,-121.859934",Urban,5.43810694673651,13.0,8.423305275999999
"42.182551,-86.382059","42.079462,-86.423315",Suburban,7.429857969160189,10.0,9.256563787000001
"34.880689,-92.230285","34.885025,-92.112553",Urban,6.679644613341178,17.0,8.953334739
"34.692493,-81.003877","34.693285,-81.168022",Suburban,9.325175623020654,17.0,12.904632928
"40.94149,-73.9593","40.867222,-74.09982",Urban,8.954289887399653,30.0,13.429070051999998
"40.100513,-82.612389","40.085078,-82.43051",Suburban,9.672481569673028,19.0,13.662705548
"38.861887,-94.660994","38.965451,-94.668894",Urban,7.168184242549475,21.0,7.757195564
"32.474692,-80.599222","32.425369,-80.734167",Urban,8.574321255632345,27.0,14.329436631
"30.715807,-85.078384","30.727714,-85.188508",Suburban,6.592539930537353,12.0,8.986267402
"45.366794,-68.49299","45.355887,-68.524582",Rural,1.7088518904411265,6.0,2.0741363980000003
"41.90425,-80.157715","41.876753,-80.174126",Suburban,2.07893493667426,5.0,2.683079978
"32.553769,-90.138906","32.553769,-90.138906",Urban,0.0,1.0,0.0
"30.203952,-97.931042","30.16313,-97.786956",Suburban,9.056066309307466,21.0,13.414778518999999
"42.108655,-79.953504","42.122688,-80.040282",Urban,4.552089577267562,13.0,5.812304333999999
"40.19531,-88.40422","40.147191,-88.254698",Suburban,8.565666480315437,14.0,10.521675143
"39.086921,-75.612286","39.216429,-75.570613",Urban,9.222528911277342,23.0,12.512547827
"41.64844,-70.48114","41.561715,-70.593828",Urban,8.354642375284865,19.0,10.021471488
"37.295097,-121.89143","37.330571,-121.859934",Urban,3.0005205247447377,14.0,3.8562284260000004
"38.926311,-76.709789","38.935972,-76.719829",Urban,0.8583536225452992,4.0,1.0954770729999999
"32.661269,-95.77607","32.543755,-95.854356",Suburban,9.31070432064468,16.0,11.204561872
"29.627214,-98.427068","29.536002,-98.333503",Urban,8.445398405066912,16.0,11.372332042
"40.348228,-80.161128","40.447297,-80.176247",Urban,6.891091468019401,18.0,10.25883521
"35.262131,-80.424512","35.25662,-80.457031",Suburban,1.8737552589127295,7.0,2.321442056
"28.854824,-81.084188","28.86982,-81.164154",Suburban,4.948493908742779,13.0,7.506783051
"37.87715,-122.17969","37.996911,-122.109473",Urban,9.1165497912909,21.0,16.691889173
"35.366645,-83.255082","35.361243,-83.204018",Urban,2.901316676102983,11.0,4.160078845
"40.445602,-74.840322","40.528004,-74.856144",Suburban,5.753824910372933,15.0,8.468665359
"38.17727,-122.258529","38.126743,-122.254598",Urban,3.49761075255323,10.0,3.981123997
"31.7171,-99.13255","31.728861,-98.982734",Suburban,8.8422368173231,10.0,9.108056118
"42.740651,-71.318715","42.801863,-71.238444",Urban,5.870507427109458,15.0,7.921237508
"25.774173,-80.19362","25.764588,-80.308743",Urban,7.193751092174348,18.0,12.559150652
"38.619698,-78.815219","38.630245,-78.775434",Suburban,2.267831056164424,8.0,3.173963068
"43.65775,-91.09652","43.766417,-91.213606",Suburban,9.5166322206085,16.0,11.126269125999999
"46.76062,-92.266038","46.703731,-92.454902",Urban,9.76968202229309,16.0,14.162287832
"43.283561,-73.629401","43.33513,-73.681701",Urban,4.428274453418249,16.0,4.9038599320000005
"44.103137,-88.653949","44.175178,-88.49266",Suburban,9.419984625144954,18.0,12.511926456
"28.172669,-81.26899","28.222838,-81.293792",Suburban,3.781073736883704,10.0,4.61057282
"42.549802,-92.258493","42.458433,-92.330572",Urban,7.303019351261743,19.0,12.999081320000002
"32.833881,-96.771528","32.9323,-96.697365",Urban,8.047284501076414,19.0,11.337535266
"35.200852,-101.851514","35.169869,-101.863503",Urban,2.2452249371100823,9.0,3.149729599
"44.15098,-103.09488","44.097873,-103.198245",Suburban,6.304471434658513,17.0,10.166250931
"43.69808,-85.48366","43.687584,-85.516937",Urban,1.8137520806118252,6.0,2.427075126
"40.201142,-82.874886","40.060048,-82.913554",Urban,9.96038305033953,20.0,11.361768735
"26.828631,-81.909078","26.894002,-82.01069",Urban,7.721939897830223,15.0,10.666454586
"40.54897,-76.81192","40.556553,-76.791931",Suburban,1.1729022421922666,3.0,1.3893855560000001
"35.607847,-92.022867","35.507288,-92.032086",Rural,6.967262820528554,27.0,19.36192036
"43.001932,-73.660897","43.104447,-73.749201",Urban,8.369396536349338,20.0,12.682803481
