zip,15_min,30_min,45_min,60_min,ruca,population,median_household_income
1438,7,22,38,68,Urban,365,"$77,381"
1440,6,21,38,65,Urban,"21,310","$53,400"
1450,11,30,47,69,Urban,"11,218","$169,643"
1451,5,21,42,63,Suburban,"5,068","$174,444"
1452,3,14,31,58,Suburban,"4,338","$105,938"
1453,12,25,51,73,Urban,"43,478","$69,525"
1460,11,31,51,71,Urban,"10,063","$140,511"
1462,10,28,49,70,Urban,"11,657","$101,540"
1463,12,27,46,67,Urban,"11,707","$111,827"
1464,12,31,50,72,Urban,"7,400","$111,875"
1468,7,23,37,68,Urban,"4,058","$98,925"
1469,9,25,43,66,Urban,"7,479","$103,984"
1473,8,23,45,69,Urban,"8,148","$107,738"
1474,7,24,42,65,Urban,"1,665","$108,068"
1475,6,20,37,60,Urban,"10,292","$85,000"
1501,11,24,57,79,Urban,"16,684","$94,267"
1503,13,34,57,74,Urban,"3,326","$106,908"
1504,15,35,53,75,Urban,"9,188","$89,129"
1505,11,28,58,74,Urban,"4,810","$127,833"
1506,4,17,31,64,Suburban,"3,435","$75,329"
1507,5,17,36,72,Suburban,"13,312","$106,558"
1510,12,28,58,74,Urban,"15,221","$84,938"
1515,5,17,32,67,Suburban,"2,040","$70,660"
1516,14,30,61,79,Urban,"9,186","$133,854"
1518,8,24,47,82,Urban,"3,299","$78,673"
1519,13,31,61,79,Urban,"7,626","$128,824"
1520,11,25,60,75,Urban,"16,752","$128,245"
1521,2,16,38,66,Suburban,"2,591","$82,500"
1522,12,24,58,76,Urban,"2,907","$109,867"
1523,10,30,56,72,Urban,"8,359","$109,651"
1524,12,25,56,80,Urban,"6,296","$80,702"
1525,15,35,61,79,Urban,31,
1527,13,26,58,78,Urban,"13,827","$96,672"
1529,15,33,56,76,Urban,"3,166","$82,131"
1531,3,18,31,62,Suburban,"1,052","$86,667"
1532,11,31,58,74,Urban,"15,605","$148,010"
1534,13,34,59,78,Urban,"6,169","$115,439"
1535,4,18,30,67,Suburban,"4,757","$77,313"
1536,12,29,60,79,Urban,"7,141","$89,886"
1537,11,26,55,82,Urban,"1,775","$61,514"
1540,11,28,58,82,Urban,"11,529","$110,195"
1541,5,17,36,63,Suburban,"3,502","$148,438"
1542,10,26,53,81,Urban,"2,667","$88,295"
1543,12,25,52,74,Urban,"8,988","$132,000"
1545,12,30,59,79,Urban,"38,291","$117,909"
1550,8,28,50,83,Urban,"17,643","$50,414"
1560,13,32,60,79,Urban,"4,773","$89,779"
1561,11,29,56,72,Urban,69,
1562,10,24,52,79,Urban,"11,963","$68,559"
