zip,ruca,city,state_name,population,county,median_household_income,stratum_size,sample_proportion,stratum_sample_size,latitude,longitude
14744,Rural,Houghton,New York,"2,182",Allegany,"$72,417",291,0.0086522165730086,3,42.422827,-78.206289
14736,Rural,Findley Lake,New York,167,Chautauqua,"$67,679",291,0.0086522165730086,3,42.133206,-79.737701
14478,Suburban,Keuka Park,New York,"1,527",Yates,"$84,485",699,0.0207831593970207,8,42.570794,-77.12259
13620,Suburban,Castorland,New York,"2,154",Lewis,"$53,484",699,0.0207831593970207,8,43.8884,-75.5113
14544,Suburban,Rushville,New York,"2,062",Yates,"$59,615",699,0.0207831593970207,8,42.734157,-77.242693
13313,Suburban,Bridgewater,New York,566,Oneida,"$40,833",699,0.0207831593970207,8,42.879227,-75.267172
12460,Suburban,Oak Hill,New York,262,Albany,,699,0.0207831593970207,8,42.4098,-74.15236
14005,Suburban,Alexander,New York,"2,154",Genesee,"$84,297",699,0.0207831593970207,8,42.917622,-78.264873
12405,Suburban,Acra,New York,603,Greene,"$60,288",699,0.0207831593970207,8,42.315975,-74.065515
14080,Suburban,Holland,New York,"4,107",Erie,"$64,511",699,0.0207831593970207,8,42.640179,-78.543738
10305,Urban,Staten Island,New York,"44,531",Richmond,"$76,833",833,0.0247673415990247,9,40.596828,-74.077837
12432,Urban,Glasco,New York,675,Ulster,"$34,444",833,0.0247673415990247,9,42.04615,-73.94862
10514,Urban,Chappaqua,New York,"13,267",Westchester,"$246,991",833,0.0247673415990247,9,41.16845,-73.76197
11581,Urban,Valley Stream,New York,"22,919",Nassau,"$121,442",833,0.0247673415990247,9,40.652253,-73.711775
10974,Urban,Sloatsburg,New York,"3,181",Rockland,"$92,639",833,0.0247673415990247,9,41.157473,-74.200784
10010,Urban,New York,New York,"33,193",New York,"$131,635",833,0.0247673415990247,9,40.739024,-73.983542
11010,Urban,Franklin Square,New York,"25,637",Nassau,"$123,401",833,0.0247673415990247,9,40.700101,-73.674074
11433,Urban,Jamaica,New York,"41,396",Queens,"$68,801",833,0.0247673415990247,9,40.696533,-73.786776
11804,Urban,Old Bethpage,New York,"4,594",Nassau,"$154,483",833,0.0247673415990247,9,40.75586,-73.45404
27982,Rural,Waves,North Carolina,37,Dare,,97,0.0028840721910028,1,35.56685,-75.46849
28748,Suburban,Leicester,North Carolina,"11,885",Buncombe,"$45,926",423,0.0125769333690125,5,35.65511,-82.69624
28423,Suburban,Bolton,North Carolina,"2,631",Columbus,"$41,213",423,0.0125769333690125,5,34.32072,-78.40195
27046,Suburban,Sandy Ridge,North Carolina,"2,266",Stokes,"$47,900",423,0.0125769333690125,5,36.483901,-80.105319
28442,Suburban,Hallsboro,North Carolina,"1,464",Columbus,"$52,950",423,0.0125769333690125,5,34.32239,-78.5989
27014,Suburban,Cooleemee,North Carolina,741,Davie,"$61,250",423,0.0125769333690125,5,35.81042,-80.55589
27502,Urban,Apex,North Carolina,"45,233",Wake,"$124,809",333,0.0099009900990099,4,35.712397,-78.915514
28533,Urban,Cherry Point,North Carolina,"3,298",Craven,,333,0.0099009900990099,4,34.903793,-76.899976
28159,Urban,Spencer,North Carolina,"2,963",Rowan,"$56,264",333,0.0099009900990099,4,35.691689,-80.432679
28208,Urban,Charlotte,North Carolina,"40,885",Mecklenburg,"$44,711",333,0.0099009900990099,4,35.209125,-80.92175
58310,Rural,Agate,North Dakota,0,Rolette,,254,0.0075521065620075,3,48.770913,-99.772702
58856,Rural,Zahl,North Dakota,54,Williams,,254,0.0075521065620075,3,48.532242,-103.772098
58746,Rural,Kenmare,North Dakota,"1,365",Ward,"$56,894",254,0.0075521065620075,3,48.67475,-102.08266
58779,Suburban,Ryder,North Dakota,350,McLean,"$61,125",109,0.0032408646270032,1,47.978815,-101.668252
44099,Rural,Windsor,Ohio,"2,618",Ashtabula,"$56,500",87,0.0025867451610025,1,41.549414,-80.967673
43759,Suburban,Morristown,Ohio,222,Belmont,"$52,917",641,0.019058662623019,7,40.065733,-81.074799
45690,Suburban,Waverly,Ohio,"13,873",Pike,"$48,484",641,0.019058662623019,7,39.12674,-82.98546
45678,Suburban,Scottown,Ohio,"1,051",Lawrence,"$45,268",641,0.019058662623019,7,38.598567,-82.385511
44048,Suburban,Kingsville,Ohio,"2,332",Ashtabula,"$53,396",641,0.019058662623019,7,41.846175,-80.647299
43338,Suburban,Mount Gilead,Ohio,"10,163",Morrow,"$60,735",641,0.019058662623019,7,40.525904,-82.752848
45622,Suburban,Creola,Ohio,326,Vinton,,641,0.019058662623019,7,39.354339,-82.503012
45629,Suburban,Franklin Furnace,Ohio,"3,009",Scioto,"$52,031",641,0.019058662623019,7,38.650439,-82.802128
44682,Urban,Tuscarawas,Ohio,"1,354",Tuscarawas,"$82,659",505,0.015015015015015,6,40.395881,-81.406883
44906,Urban,Mansfield,Ohio,"16,461",Richland,"$43,753",505,0.015015015015015,6,40.756992,-82.588394
43213,Urban,Columbus,Ohio,"35,954",Franklin,"$48,195",505,0.015015015015015,6,39.972734,-82.832887
43311,Urban,Bellefontaine,Ohio,"19,944",Logan,"$63,070",505,0.015015015015015,6,40.378783,-83.787784
45065,Urban,South Lebanon,Ohio,"6,366",Warren,"$104,539",505,0.015015015015015,6,39.356027,-84.207204
