zip,ruca,city,state_name,population,county,median_household_income,stratum_size,sample_proportion,stratum_sample_size
69123,Suburban,Brady,Nebraska,926,Lincoln,"$64,583",203,0.006035738709006036,2
68104,Urban,Omaha,Nebraska,"37,274",Douglas,"$51,769",82,0.002438081646002438,1
89409,Suburban,Gabbs,Nevada,111,Nye,"$58,958",50,0.0014866351500014865,1
89404,Urban,Denio,Nevada,17,Humboldt,,107,0.0031813992210031816,1
3816,Rural,Center Tuftonboro,New Hampshire,"1,509",Carroll,"$68,207",81,0.002408348943002408,1
3750,Suburban,Etna,New Hampshire,889,Grafton,"$174,875",100,0.002973270300002973,1
3842,Urban,Hampton,New Hampshire,"15,979",Rockingham,"$87,554",66,0.0019623583980019625,1
8001,Suburban,Alloway,New Jersey,814,Salem,"$93,421",77,0.0022894181310022894,1
7960,Urban,Morristown,New Jersey,"46,463",Morris,"$147,949",517,0.015371807451015372,6
7114,Urban,Newark,New Jersey,"13,617",Essex,"$25,042",517,0.015371807451015372,6
7503,Urban,Paterson,New Jersey,"19,365",Passaic,"$56,645",517,0.015371807451015372,6
7762,Urban,Spring Lake,New Jersey,"8,442",Monmouth,"$95,609",517,0.015371807451015372,6
7803,Urban,Mine Hill,New Jersey,"3,976",Morris,"$100,327",517,0.015371807451015372,6
8011,Urban,Birmingham,New Jersey,0,Burlington,,517,0.015371807451015372,6
87936,Rural,Garfield,New Mexico,160,Doña Ana,"$18,925",117,0.0034787262510034785,1
87730,Suburban,Mills,New Mexico,15,Harding,,175,0.0052032230250052035,2
88023,Suburban,Bayard,New Mexico,"2,197",Grant,"$35,917",175,0.0052032230250052035,2
88103,Urban,Cannon Afb,New Mexico,0,Curry,,79,0.002348883537002349,1
12979,Rural,Rouses Point,New York,"2,324",Clinton,"$42,267",291,0.008652216573008652,3
14744,Rural,Houghton,New York,"2,182",Allegany,"$72,417",291,0.008652216573008652,3
14736,Rural,Findley Lake,New York,167,Chautauqua,"$67,679",291,0.008652216573008652,3
14478,Suburban,Keuka Park,New York,"1,527",Yates,"$84,485",699,0.020783159397020783,8
13620,Suburban,Castorland,New York,"2,154",Lewis,"$53,484",699,0.020783159397020783,8
14544,Suburban,Rushville,New York,"2,062",Yates,"$59,615",699,0.020783159397020783,8
13313,Suburban,Bridgewater,New York,566,Oneida,"$40,833",699,0.020783159397020783,8
12460,Suburban,Oak Hill,New York,262,Albany,,699,0.020783159397020783,8
14005,Suburban,Alexander,New York,"2,154",Genesee,"$84,297",699,0.020783159397020783,8
12405,Suburban,Acra,New York,603,Greene,"$60,288",699,0.020783159397020783,8
14080,Suburban,Holland,New York,"4,107",Erie,"$64,511",699,0.020783159397020783,8
10305,Urban,Staten Island,New York,"44,531",Richmond,"$76,833",833,0.02476734159902477,9
12432,Urban,Glasco,New York,675,Ulster,"$34,444",833,0.02476734159902477,9
10514,Urban,Chappaqua,New York,"13,267",Westchester,"$246,991",833,0.02476734159902477,9
11581,Urban,Valley Stream,New York,"22,919",Nassau,"$121,442",833,0.02476734159902477,9
10974,Urban,Sloatsburg,New York,"3,181",Rockland,"$92,639",833,0.02476734159902477,9
10010,Urban,New York,New York,"33,193",New York,"$131,635",833,0.02476734159902477,9
11010,Urban,Franklin Square,New York,"25,637",Nassau,"$123,401",833,0.02476734159902477,9
11433,Urban,Jamaica,New York,"41,396",Queens,"$68,801",833,0.02476734159902477,9
11804,Urban,Old Bethpage,New York,"4,594",Nassau,"$154,483",833,0.02476734159902477,9
27982,Rural,Waves,North Carolina,37,Dare,,97,0.002884072191002884,1
28748,Suburban,Leicester,North Carolina,"11,885",Buncombe,"$45,926",423,0.012576933369012578,5
28423,Suburban,Bolton,North Carolina,"2,631",Columbus,"$41,213",423,0.012576933369012578,5
27046,Suburban,Sandy Ridge,North Carolina,"2,266",Stokes,"$47,900",423,0.012576933369012578,5
28442,Suburban,Hallsboro,North Carolina,"1,464",Columbus,"$52,950",423,0.012576933369012578,5
27014,Suburban,Cooleemee,North Carolina,741,Davie,"$61,250",423,0.012576933369012578,5
27502,Urban,Apex,North Carolina,"45,233",Wake,"$124,809",333,0.009900990099009901,4
28533,Urban,Cherry Point,North Carolina,"3,298",Craven,,333,0.009900990099009901,4
28159,Urban,Spencer,North Carolina,"2,963",Rowan,"$56,264",333,0.009900990099009901,4
28208,Urban,Charlotte,North Carolina,"40,885",Mecklenburg,"$44,711",333,0.009900990099009901,4
58310,Rural,Agate,North Dakota,0,Rolette,,254,0.007552106562007552,3
