origin,destination,distance_in_time
"34.782306,-91.569612","36.173387,-94.162546",3 hour 26 mins
"34.782306,-91.569612","36.280648,-94.151515",3 hour 31 mins
"34.782306,-91.569612","35.225814,-92.389607",1 hour 16 mins
"34.782306,-91.569612","33.618399,-91.381728",1 hour 48 mins
"34.782306,-91.569612","35.468764,-94.353577",2 hour 47 mins
"34.782306,-91.569612","35.283626,-93.15294",1 hour 47 mins
"34.782306,-91.569612","36.152825,-94.185376",3 hour 23 mins
"34.782306,-91.569612","33.925368,-93.857193",2 hour 47 mins
"34.782306,-91.569612","35.617969,-91.254602",1 hour 29 mins
"34.782306,-91.569612","36.05646,-94.175122",3 hour 16 mins
"35.343902,-90.297822","36.173387,-94.162546",4 hour 47 mins
"35.343902,-90.297822","36.280648,-94.151515",4 hour 53 mins
"35.343902,-90.297822","35.225814,-92.389607",2 hour 38 mins
"35.343902,-90.297822","33.618399,-91.381728",2 hour 59 mins
"35.343902,-90.297822","35.468764,-94.353577",4 hour 9 mins
"35.343902,-90.297822","35.283626,-93.15294",3 hour 9 mins
"35.343902,-90.297822","36.152825,-94.185376",4 hour 45 mins
"35.343902,-90.297822","33.925368,-93.857193",4 hour 9 mins
"35.343902,-90.297822","35.617969,-91.254602",1 hour 19 mins
"35.343902,-90.297822","36.05646,-94.175122",4 hour 38 mins
"35.15537,-91.34318","36.173387,-94.162546",3 hour 49 mins
"35.15537,-91.34318","36.280648,-94.151515",3 hour 55 mins
"35.15537,-91.34318","35.225814,-92.389607",1 hour 37 mins
"35.15537,-91.34318","33.618399,-91.381728",2 hour 28 mins
"35.15537,-91.34318","35.468764,-94.353577",3 hour 10 mins
"35.15537,-91.34318","35.283626,-93.15294",2 hour 10 mins
"35.15537,-91.34318","36.152825,-94.185376",3 hour 46 mins
"35.15537,-91.34318","33.925368,-93.857193",3 hour 19 mins
"35.15537,-91.34318","35.617969,-91.254602",46 mins
"35.15537,-91.34318","36.05646,-94.175122",3 hour 40 mins
"35.274844,-90.798946","36.173387,-94.162546",4 hour 14 mins
"35.274844,-90.798946","36.280648,-94.151515",4 hour 20 mins
"35.274844,-90.798946","35.225814,-92.389607",2 hour 3 mins
"35.274844,-90.798946","33.618399,-91.381728",2 hour 39 mins
"35.274844,-90.798946","35.468764,-94.353577",3 hour 35 mins
"35.274844,-90.798946","35.283626,-93.15294",2 hour 35 mins
"35.274844,-90.798946","36.152825,-94.185376",4 hour 12 mins
"35.274844,-90.798946","33.925368,-93.857193",3 hour 45 mins
"35.274844,-90.798946","35.617969,-91.254602",59 mins
"35.274844,-90.798946","36.05646,-94.175122",4 hour 5 mins
"35.274106,-93.615999","36.173387,-94.162546",1 hour 47 mins
"35.274106,-93.615999","36.280648,-94.151515",1 hour 53 mins
"35.274106,-93.615999","35.225814,-92.389607",1 hour 31 mins
"35.274106,-93.615999","33.618399,-91.381728",3 hour 20 mins
"35.274106,-93.615999","35.468764,-94.353577",1 hour 8 mins
"35.274106,-93.615999","35.283626,-93.15294",47 mins
"35.274106,-93.615999","36.152825,-94.185376",1 hour 45 mins
"35.274106,-93.615999","33.925368,-93.857193",3 hour 5 mins
"35.274106,-93.615999","35.617969,-91.254602",2 hour 47 mins
"35.274106,-93.615999","36.05646,-94.175122",1 hour 38 mins
"35.116116,-90.238064","36.173387,-94.162546",4 hour 36 mins
"35.116116,-90.238064","36.280648,-94.151515",4 hour 42 mins
"35.116116,-90.238064","35.225814,-92.389607",2 hour 27 mins
"35.116116,-90.238064","33.618399,-91.381728",2 hour 44 mins
"35.116116,-90.238064","35.468764,-94.353577",3 hour 57 mins
"35.116116,-90.238064","35.283626,-93.15294",2 hour 58 mins
"35.116116,-90.238064","36.152825,-94.185376",4 hour 34 mins
"35.116116,-90.238064","33.925368,-93.857193",3 hour 57 mins
"35.116116,-90.238064","35.617969,-91.254602",1 hour 34 mins
"35.116116,-90.238064","36.05646,-94.175122",4 hour 27 mins
"41.234693,-121.215582","37.322401,-121.973234",5 hour 44 mins
"41.234693,-121.215582","32.805378,-117.116368",11 hour 56 mins
"41.234693,-121.215582","38.048958,-121.37384",4 hour 55 mins
"41.234693,-121.215582","35.208437,-118.828899",8 hour 51 mins
"41.234693,-121.215582","38.888596,-121.292601",4 hour 27 mins
"41.234693,-121.215582","33.819474,-117.908042",10 hour 38 mins
"41.234693,-121.215582","37.947523,-122.384032",5 hour 3 mins
"41.234693,-121.215582","33.913168,-117.865456",10 hour 40 mins
"41.234693,-121.215582","32.631371,-116.96773",12 hour 14 mins
"41.234693,-121.215582","38.498775,-121.433766",4 hour 30 mins
"41.234693,-121.215582","34.050338,-118.084287",10 hour 18 mins
"41.234693,-121.215582","34.073689,-117.88609",10 hour 28 mins
"41.234693,-121.215582","33.129612,-117.062391",11 hour 50 mins
"41.234693,-121.215582","33.737428,-117.915362",10 hour 48 mins
"41.234693,-121.215582","38.595884,-121.291214",4 hour 35 mins
"40.13049,-123.602161","37.322401,-121.973234",5 hour 6 mins
"40.13049,-123.602161","32.805378,-117.116368",11 hour 43 mins
"40.13049,-123.602161","38.048958,-121.37384",5 hour 13 mins
"40.13049,-123.602161","35.208437,-118.828899",8 hour 38 mins
"40.13049,-123.602161","38.888596,-121.292601",5 hour 6 mins
"40.13049,-123.602161","33.819474,-117.908042",10 hour 24 mins
"40.13049,-123.602161","37.947523,-122.384032",4 hour 12 mins
"40.13049,-123.602161","33.913168,-117.865456",10 hour 27 mins
"40.13049,-123.602161","32.631371,-116.96773",12 hour 1 mins
"40.13049,-123.602161","38.498775,-121.433766",4 hour 57 mins
"40.13049,-123.602161","34.050338,-118.084287",10 hour 4 mins
"40.13049,-123.602161","34.073689,-117.88609",10 hour 15 mins
"40.13049,-123.602161","33.129612,-117.062391",11 hour 37 mins
"40.13049,-123.602161","33.737428,-117.915362",10 hour 34 mins
"40.13049,-123.602161","38.595884,-121.291214",5 hour 2 mins
"38.25085,-120.51189","37.322401,-121.973234",2 hour 33 mins
"38.25085,-120.51189","32.805378,-117.116368",8 hour 0 mins
"38.25085,-120.51189","38.048958,-121.37384",1 hour 21 mins
"38.25085,-120.51189","35.208437,-118.828899",4 hour 47 mins
"38.25085,-120.51189","38.888596,-121.292601",1 hour 58 mins
"38.25085,-120.51189","33.819474,-117.908042",6 hour 41 mins
"38.25085,-120.51189","37.947523,-122.384032",2 hour 34 mins
"38.25085,-120.51189","33.913168,-117.865456",6 hour 43 mins
"38.25085,-120.51189","32.631371,-116.96773",8 hour 17 mins
"38.25085,-120.51189","38.498775,-121.433766",1 hour 26 mins
"38.25085,-120.51189","34.050338,-118.084287",6 hour 22 mins
"38.25085,-120.51189","34.073689,-117.88609",6 hour 32 mins
"38.25085,-120.51189","33.129612,-117.062391",7 hour 53 mins
"38.25085,-120.51189","33.737428,-117.915362",6 hour 49 mins
"38.25085,-120.51189","38.595884,-121.291214",1 hour 33 mins
"36.61162,-119.52707","37.322401,-121.973234",2 hour 56 mins
"36.61162,-119.52707","32.805378,-117.116368",5 hour 16 mins
"36.61162,-119.52707","38.048958,-121.37384",2 hour 27 mins
"36.61162,-119.52707","35.208437,-118.828899",1 hour 55 mins
"36.61162,-119.52707","38.888596,-121.292601",3 hour 24 mins
"36.61162,-119.52707","33.819474,-117.908042",3 hour 49 mins
"36.61162,-119.52707","37.947523,-122.384032",3 hour 20 mins
"36.61162,-119.52707","33.913168,-117.865456",3 hour 51 mins
"36.61162,-119.52707","32.631371,-116.96773",5 hour 26 mins
"36.61162,-119.52707","38.498775,-121.433766",2 hour 52 mins
"36.61162,-119.52707","34.050338,-118.084287",3 hour 30 mins
"36.61162,-119.52707","34.073689,-117.88609",3 hour 40 mins
"36.61162,-119.52707","33.129612,-117.062391",5 hour 2 mins
"36.61162,-119.52707","33.737428,-117.915362",3 hour 57 mins
"36.61162,-119.52707","38.595884,-121.291214",3 hour 7 mins
"33.64079,-117.693074","37.322401,-121.973234",6 hour 13 mins
"33.64079,-117.693074","32.805378,-117.116368",1 hour 14 mins
"33.64079,-117.693074","38.048958,-121.37384",6 hour 9 mins
"33.64079,-117.693074","35.208437,-118.828899",2 hour 38 mins
"33.64079,-117.693074","38.888596,-121.292601",7 hour 12 mins
"33.64079,-117.693074","33.819474,-117.908042",26 mins
"33.64079,-117.693074","37.947523,-122.384032",6 hour 47 mins
"33.64079,-117.693074","33.913168,-117.865456",33 mins
"33.64079,-117.693074","32.631371,-116.96773",1 hour 31 mins
"33.64079,-117.693074","38.498775,-121.433766",6 hour 40 mins
"33.64079,-117.693074","34.050338,-118.084287",50 mins
"33.64079,-117.693074","34.073689,-117.88609",48 mins
"33.64079,-117.693074","33.129612,-117.062391",1 hour 8 mins
"33.64079,-117.693074","33.737428,-117.915362",28 mins
"33.64079,-117.693074","38.595884,-121.291214",6 hour 55 mins
"35.587748,-120.954454","37.322401,-121.973234",3 hour 10 mins
"35.587748,-120.954454","32.805378,-117.116368",6 hour 0 mins
"35.587748,-120.954454","38.048958,-121.37384",4 hour 15 mins
"35.587748,-120.954454","35.208437,-118.828899",2 hour 46 mins
"35.587748,-120.954454","38.888596,-121.292601",5 hour 19 mins
"35.587748,-120.954454","33.819474,-117.908042",4 hour 33 mins
"35.587748,-120.954454","37.947523,-122.384032",3 hour 59 mins
"35.587748,-120.954454","33.913168,-117.865456",4 hour 35 mins
"35.587748,-120.954454","32.631371,-116.96773",6 hour 20 mins
"35.587748,-120.954454","38.498775,-121.433766",4 hour 46 mins
"35.587748,-120.954454","34.050338,-118.084287",4 hour 14 mins
"35.587748,-120.954454","34.073689,-117.88609",4 hour 24 mins
"35.587748,-120.954454","33.129612,-117.062391",5 hour 45 mins
"35.587748,-120.954454","33.737428,-117.915362",4 hour 41 mins
"35.587748,-120.954454","38.595884,-121.291214",5 hour 1 mins
"39.142737,-122.243739","37.322401,-121.973234",2 hour 29 mins
"39.142737,-122.243739","32.805378,-117.116368",8 hour 40 mins
"39.142737,-122.243739","38.048958,-121.37384",1 hour 39 mins
"39.142737,-122.243739","35.208437,-118.828899",5 hour 35 mins
"39.142737,-122.243739","38.888596,-121.292601",1 hour 23 mins
"39.142737,-122.243739","33.819474,-117.908042",7 hour 22 mins
"39.142737,-122.243739","37.947523,-122.384032",1 hour 47 mins
"39.142737,-122.243739","33.913168,-117.865456",7 hour 24 mins
"39.142737,-122.243739","32.631371,-116.96773",8 hour 58 mins
"39.142737,-122.243739","38.498775,-121.433766",1 hour 14 mins
"39.142737,-122.243739","34.050338,-118.084287",7 hour 3 mins
"39.142737,-122.243739","34.073689,-117.88609",7 hour 13 mins
"39.142737,-122.243739","33.129612,-117.062391",8 hour 35 mins
"39.142737,-122.243739","33.737428,-117.915362",7 hour 29 mins
"39.142737,-122.243739","38.595884,-121.291214",1 hour 19 mins
"34.44611,-117.85229","37.322401,-121.973234",5 hour 42 mins
"34.44611,-117.85229","32.805378,-117.116368",2 hour 25 mins
"34.44611,-117.85229","38.048958,-121.37384",5 hour 38 mins
"34.44611,-117.85229","35.208437,-118.828899",1 hour 53 mins
"34.44611,-117.85229","38.888596,-121.292601",6 hour 35 mins
"34.44611,-117.85229","33.819474,-117.908042",1 hour 35 mins
"34.44611,-117.85229","37.947523,-122.384032",6 hour 16 mins
"34.44611,-117.85229","33.913168,-117.865456",1 hour 27 mins
"34.44611,-117.85229","32.631371,-116.96773",2 hour 45 mins
"34.44611,-117.85229","38.498775,-121.433766",6 hour 3 mins
"34.44611,-117.85229","34.050338,-118.084287",1 hour 30 mins
"34.44611,-117.85229","34.073689,-117.88609",1 hour 19 mins
