Address,Designation,Store #,Open Date
"6811 Southcrest Pkwy., Southaven, Mississippi",Walmart Supercenter,848,"November 12, 1985"
"2700 W State St., Alliance, Ohio",Walmart Supercenter,2541,"October 29, 1997"
"1610 North Riverside Drive, Española, New Mexico",Walmart Supercenter,2656,"January 27, 1999"
"1863 CR 5300, Coffeyville, Kansas",Walmart Supercenter,42,"February 1, 1973"
"66 State Road 344, Edgewood, New Mexico",Walmart Supercenter,4021,"March 7, 2008"
"11465 Tara Blvd., Lovejoy, Georgia",Walmart Supercenter,5363,"January 26, 2005"
"5175 Brookberry Park Avenue, Winston-Salem, North Carolina",Neighborhood Market,6814,"December 10, 2014"
"115 Seymour Drive, Derby, Vermont",Walmart Supercenter,4156,"November 16, 2016"
"1400 Hilltop Mall Rd., Richmond, California",Walmart,3455,"April 11, 2007"
"1800 E 29th St., Crete, Nebraska",Walmart Supercenter,4322,"June 13, 2007"
"10855 South US 1, Port St. Lucie, Florida",Walmart Supercenter,929,"August 19, 1986"
"4700 E Palm Valley Blvd., Round Rock, Texas",Walmart Supercenter,5480,"March 23, 2005"
"930 Highway 711 East, Pembroke, North Carolina",Walmart Supercenter,5489,"October 26, 2005"
"6149 Old National Hwy., College Park, Georgia",Walmart Supercenter,3401,"January 22, 2007"
"2150 Iowa Blvd., Vicksburg, Mississippi",Walmart Supercenter,708,"May 14, 1985"
"555 W Interstate 30, Garland, Texas",Walmart Supercenter,3224,"February 28, 2001"
"3745 SW Lee Blvd., Lawton, Oklahoma",Neighborhood Market,2984,"January 14, 2015"
"2022 E 16th St., Wellington, Kansas",Walmart Supercenter,370,"November 18, 1980"
"1710 S 4th St., Nashville, Arkansas",Walmart Supercenter,33,"June 1, 1971"
"8770 Dell Center Drive, Liverpool, New York",Walmart Supercenter,1831,"September 30, 1992"
"100 Nitro Market Place, Cross Lanes, West Virginia",Walmart Supercenter,2576,"August 19, 1998"
"4540 Main St. B 3079, Shallotte, North Carolina",Walmart Supercenter,1767,"May 5, 1992"
"1715 N Commerce St., Ardmore, Oklahoma",Walmart Supercenter,129,"July 1, 1975"
"9460 W Sam Houston Pkwy. S, Houston, Texas",Walmart Supercenter,3302,"November 2, 2005"
"175 Interstate 35 N, Devine, Texas",Walmart Supercenter,4103,"October 8, 2014"
"330 Sutton Rd. SE, Owens Cross Roads, Alabama",Walmart Supercenter,5197,"January 26, 2005"
"1923 E Kearney St., Springfield, Missouri",Walmart Supercenter,138,"November 1, 1977"
"12200 River Ridge Blvd., Burnsville, Minnesota",Walmart Supercenter,5977,"October 26, 2012"
"589 W Highway 92, Williamsburg, Kentucky",Walmart Supercenter,1048,"July 14, 1987"
"1900 Highway 165 S, Oakdale, Louisiana",Walmart Supercenter,1107,"June 30, 1987"
"6259 College Dr., Suffolk, Virginia",Walmart Supercenter,3214,"January 24, 2001"
"1100 S 1st St., Madill, Oklahoma",Walmart Supercenter,1295,"February 2, 1989"
"1725 W Hunt Hwy., San Tan Valley, Arizona",Walmart Supercenter,3751,"March 22, 2006"
"1 Coopertown Blvd., Somerdale, New Jersey",Walmart Supercenter,4456,"November 10, 2010"
"2500 Archbishop Hannan Blvd., Meraux, Louisiana",Neighborhood Market,5081,"January 27, 2016"
"1733 2nd St. S, Meridian, Mississippi",Walmart Supercenter,981,"November 18, 1986"
"9131 College Pkwy Ste 101, Fort Myers, Florida",Neighborhood Market,5321,"January 23, 2005"
"6400A Ridge Road Suite 1, Sykesville, Maryland",Walmart Supercenter,2436,"February 20, 1996"
"3805 S Keystone Ave., Indianapolis, Indiana",Neighborhood Market,5408,"July 7, 2004"
"5261 North Antioch Rd., Kansas City, Missouri",Neighborhood Market,2442,"November 5, 2014"
"1840 E US Highway 36, Urbana, Ohio",Walmart Supercenter,1239,"February 2, 1989"
"8220 N Dale Mabry Hwy., Tampa, Florida",Walmart Supercenter,5220,"January 21, 2004"
"5700 Shed Road, Bossier City, Louisiana",Neighborhood Market,3752,"January 21, 2015"
"1355 E Lehman St., Lebanon, Pennsylvania",Walmart Supercenter,2023,"January 4, 1994"
"2214 N 1st St., Carrizo Springs, Texas",Walmart,1046,"May 12, 1987"
"1970 S University Blvd., Mobile, Alabama",Neighborhood Market,5098,"January 15, 2003"
"2257 Hwy. 515, Blairsville, Georgia",Walmart Supercenter,3485,"August 19, 2009"
