zip,ruca,city,state_name,population,county,median_household_income
53150,Urban,Muskego,Wisconsin,"25,860",Waukesha,"$103,688"
53151,Urban,New Berlin,Wisconsin,"32,398",Waukesha,"$88,520"
53153,Suburban,North Prairie,Wisconsin,"2,604",Waukesha,"$130,659"
53154,Urban,Oak Creek,Wisconsin,"36,266",Milwaukee,"$80,817"
53156,Urban,Palmyra,Wisconsin,"3,344",Jefferson,"$71,339"
53157,Suburban,Pell Lake,Wisconsin,0,Walworth,
53158,Urban,Pleasant Prairie,Wisconsin,"17,397",Kenosha,"$93,409"
53167,Urban,Rochester,Wisconsin,474,Racine,"$53,514"
53168,Suburban,Salem,Wisconsin,"9,053",Kenosha,"$86,250"
53170,Suburban,Silver Lake,Wisconsin,"2,265",Kenosha,"$72,271"
53172,Urban,South Milwaukee,Wisconsin,"20,785",Milwaukee,"$61,046"
53176,Suburban,Springfield,Wisconsin,222,Walworth,"$50,862"
53177,Urban,Sturtevant,Wisconsin,"8,457",Racine,"$71,762"
53178,Suburban,Sullivan,Wisconsin,"2,643",Jefferson,"$81,635"
53179,Suburban,Trevor,Wisconsin,"7,088",Kenosha,"$82,443"
53181,Suburban,Twin Lakes,Wisconsin,"7,628",Kenosha,"$82,121"
53182,Suburban,Union Grove,Wisconsin,"9,603",Racine,"$93,790"
53183,Urban,Wales,Wisconsin,"3,021",Waukesha,"$107,813"
53184,Suburban,Walworth,Wisconsin,"4,301",Walworth,"$65,313"
53185,Urban,Waterford,Wisconsin,"18,550",Racine,"$90,692"
53186,Urban,Waukesha,Wisconsin,"34,163",Waukesha,"$65,112"
53188,Urban,Waukesha,Wisconsin,"34,338",Waukesha,"$79,410"
53189,Urban,Waukesha,Wisconsin,"26,315",Waukesha,"$102,666"
53190,Urban,Whitewater,Wisconsin,"19,104",Walworth,"$52,823"
53191,Urban,Williams Bay,Wisconsin,"3,264",Walworth,"$57,157"
53192,Suburban,Wilmot,Wisconsin,49,Kenosha,
53195,Suburban,Zenda,Wisconsin,80,Walworth,
53202,Urban,Milwaukee,Wisconsin,"25,081",Milwaukee,"$58,356"
53203,Urban,Milwaukee,Wisconsin,"1,878",Milwaukee,"$79,524"
53204,Urban,Milwaukee,Wisconsin,"37,687",Milwaukee,"$36,300"
53205,Urban,Milwaukee,Wisconsin,"8,337",Milwaukee,"$22,526"
53206,Urban,Milwaukee,Wisconsin,"21,847",Milwaukee,"$26,478"
53207,Urban,Milwaukee,Wisconsin,"35,120",Milwaukee,"$68,721"
53208,Urban,Milwaukee,Wisconsin,"28,155",Milwaukee,"$39,698"
53209,Urban,Milwaukee,Wisconsin,"46,908",Milwaukee,"$39,712"
53210,Urban,Milwaukee,Wisconsin,"25,706",Milwaukee,"$38,447"
53211,Urban,Milwaukee,Wisconsin,"34,406",Milwaukee,"$68,603"
53212,Urban,Milwaukee,Wisconsin,"29,142",Milwaukee,"$40,662"
53213,Urban,Milwaukee,Wisconsin,"27,727",Milwaukee,"$88,539"
53214,Urban,Milwaukee,Wisconsin,"35,358",Milwaukee,"$54,732"
53215,Urban,Milwaukee,Wisconsin,"59,400",Milwaukee,"$44,086"
53216,Urban,Milwaukee,Wisconsin,"31,398",Milwaukee,"$35,829"
53217,Urban,Milwaukee,Wisconsin,"30,098",Milwaukee,"$114,286"
53218,Urban,Milwaukee,Wisconsin,"43,302",Milwaukee,"$39,820"
53219,Urban,Milwaukee,Wisconsin,"33,994",Milwaukee,"$61,506"
53220,Urban,Milwaukee,Wisconsin,"27,366",Milwaukee,"$63,245"
53221,Urban,Milwaukee,Wisconsin,"39,238",Milwaukee,"$52,382"
53222,Urban,Milwaukee,Wisconsin,"24,771",Milwaukee,"$68,313"
53223,Urban,Milwaukee,Wisconsin,"29,397",Milwaukee,"$56,781"
53224,Urban,Milwaukee,Wisconsin,"20,989",Milwaukee,"$59,724"
53225,Urban,Milwaukee,Wisconsin,"26,963",Milwaukee,"$46,153"
53226,Urban,Milwaukee,Wisconsin,"18,223",Milwaukee,"$81,948"
53227,Urban,Milwaukee,Wisconsin,"24,114",Milwaukee,"$58,445"
53228,Urban,Milwaukee,Wisconsin,"14,793",Milwaukee,"$68,352"
53233,Urban,Milwaukee,Wisconsin,"14,627",Milwaukee,"$16,833"
53235,Urban,Saint Francis,Wisconsin,"9,254",Milwaukee,"$48,573"
53295,Urban,Milwaukee,Wisconsin,135,Milwaukee,
53402,Urban,Racine,Wisconsin,"34,608",Racine,"$64,759"
53403,Urban,Racine,Wisconsin,"26,579",Racine,"$51,420"
53404,Urban,Racine,Wisconsin,"13,993",Racine,"$40,166"
53405,Urban,Racine,Wisconsin,"26,987",Racine,"$57,289"
53406,Urban,Racine,Wisconsin,"26,116",Racine,"$69,699"
53501,Urban,Afton,Wisconsin,145,Rock,"$65,469"
53502,Suburban,Albany,Wisconsin,"2,293",Green,"$70,104"
53503,Suburban,Arena,Wisconsin,"1,999",Iowa,"$64,609"
53504,Suburban,Argyle,Wisconsin,"2,241",Lafayette,"$69,188"
53505,Suburban,Avalon,Wisconsin,373,Rock,"$85,313"
53506,Suburban,Avoca,Wisconsin,"1,016",Iowa,"$51,722"
53507,Suburban,Barneveld,Wisconsin,"2,305",Iowa,"$97,353"
53508,Suburban,Belleville,Wisconsin,"5,791",Dane,"$88,919"
53510,Rural,Belmont,Wisconsin,"1,449",Lafayette,"$76,058"
53511,Urban,Beloit,Wisconsin,"48,714",Rock,"$57,325"
53515,Suburban,Black Earth,Wisconsin,"2,623",Dane,"$80,568"
53516,Suburban,Blanchardville,Wisconsin,"2,235",Lafayette,"$76,979"
53517,Suburban,Blue Mounds,Wisconsin,"1,908",Dane,"$71,071"
53518,Suburban,Blue River,Wisconsin,"1,493",Richland,"$53,958"
53520,Suburban,Brodhead,Wisconsin,"6,754",Rock,"$64,808"
53521,Suburban,Brooklyn,Wisconsin,"3,403",Green,"$85,870"
53522,Suburban,Browntown,Wisconsin,928,Green,"$64,750"
53523,Suburban,Cambridge,Wisconsin,"4,971",Dane,"$85,000"
53525,Rural,Clinton,Wisconsin,"4,049",Rock,"$72,000"
53526,Rural,Cobb,Wisconsin,562,Iowa,"$70,938"
53527,Urban,Cottage Grove,Wisconsin,"10,798",Dane,"$103,964"
